date,state,vehicle_category,state_ev_sales,maker,electric_vehicles_sold,monthly_total_sales,maker_share_percent,estimated_ev_sales
2021-04-01,Andaman and Nicobar Islands,2-Wheelers,0,AMPERE,751,5689,0.13200914044647566,0
2021-04-01,Andaman and Nicobar Islands,2-Wheelers,0,ATHER,903,5689,0.15872736860608191,0
2021-04-01,Andaman and Nicobar Islands,2-Wheelers,0,BAJAJ,48,5689,0.008437335208296712,0
2021-04-01,Andaman and Nicobar Islands,2-Wheelers,0,BEING,171,5689,0.03005800667955704,0
2021-04-01,Andaman and Nicobar Islands,2-Wheelers,0,HERO ELECTRIC,759,5689,0.13341536298119178,0
2021-04-01,Andaman and Nicobar Islands,2-Wheelers,0,JITENDRA,36,5689,0.0063280014062225345,0
2021-04-01,Andaman and Nicobar Islands,2-Wheelers,0,OKINAWA,1251,5689,0.21989804886623307,0
2021-04-01,Andaman and Nicobar Islands,2-Wheelers,0,OLA ELECTRIC,0,5689,0.0,0
2021-04-01,Andaman and Nicobar Islands,2-Wheelers,0,OTHERS,749,5689,0.13165758481279663,0
2021-04-01,Andaman and Nicobar Islands,2-Wheelers,0,PURE EV,581,5689,0.10212691158375813,0
2021-04-01,Andaman and Nicobar Islands,2-Wheelers,0,REVOLT,138,5689,0.02425733872385305,0
2021-04-01,Andaman and Nicobar Islands,2-Wheelers,0,TVS,302,5689,0.05308490068553349,0
2021-04-01,Andaman and Nicobar Islands,4-Wheelers,9,BMW India,0,626,0.0,0
2021-04-01,Andaman and Nicobar Islands,4-Wheelers,9,BYD India,0,626,0.0,0
2021-04-01,Andaman and Nicobar Islands,4-Wheelers,9,Hyundai Motor,12,626,0.019169329073482427,0
2021-04-01,Andaman and Nicobar Islands,4-Wheelers,9,KIA Motors,0,626,0.0,0
2021-04-01,Andaman and Nicobar Islands,4-Wheelers,9,MG Motor,118,626,0.18849840255591055,2
2021-04-01,Andaman and Nicobar Islands,4-Wheelers,9,Mahindra and Mahindra,171,626,0.2731629392971246,2
2021-04-01,Andaman and Nicobar Islands,4-Wheelers,9,Mercedes-Benz AG,3,626,0.004792332268370607,0
2021-04-01,Andaman and Nicobar Islands,4-Wheelers,9,PCA Automobiles,0,626,0.0,0
2021-04-01,Andaman and Nicobar Islands,4-Wheelers,9,Tata Motors,322,626,0.5143769968051118,5
2021-04-01,Andaman and Nicobar Islands,4-Wheelers,9,Volvo Auto India,0,626,0.0,0
2021-04-01,Andhra Pradesh,2-Wheelers,436,AMPERE,751,5689,0.13200914044647566,58
2021-04-01,Andhra Pradesh,2-Wheelers,436,ATHER,903,5689,0.15872736860608191,69
2021-04-01,Andhra Pradesh,2-Wheelers,436,BAJAJ,48,5689,0.008437335208296712,4
2021-04-01,Andhra Pradesh,2-Wheelers,436,BEING,171,5689,0.03005800667955704,13
2021-04-01,Andhra Pradesh,2-Wheelers,436,HERO ELECTRIC,759,5689,0.13341536298119178,58
2021-04-01,Andhra Pradesh,2-Wheelers,436,JITENDRA,36,5689,0.0063280014062225345,3
2021-04-01,Andhra Pradesh,2-Wheelers,436,OKINAWA,1251,5689,0.21989804886623307,96
2021-04-01,Andhra Pradesh,2-Wheelers,436,OLA ELECTRIC,0,5689,0.0,0
2021-04-01,Andhra Pradesh,2-Wheelers,436,OTHERS,749,5689,0.13165758481279663,57
2021-04-01,Andhra Pradesh,2-Wheelers,436,PURE EV,581,5689,0.10212691158375813,45
2021-04-01,Andhra Pradesh,2-Wheelers,436,REVOLT,138,5689,0.02425733872385305,11
2021-04-01,Andhra Pradesh,2-Wheelers,436,TVS,302,5689,0.05308490068553349,23
2021-04-01,Andhra Pradesh,4-Wheelers,26,BMW India,0,626,0.0,0
2021-04-01,Andhra Pradesh,4-Wheelers,26,BYD India,0,626,0.0,0
2021-04-01,Andhra Pradesh,4-Wheelers,26,Hyundai Motor,12,626,0.019169329073482427,0
2021-04-01,Andhra Pradesh,4-Wheelers,26,KIA Motors,0,626,0.0,0
2021-04-01,Andhra Pradesh,4-Wheelers,26,MG Motor,118,626,0.18849840255591055,5
2021-04-01,Andhra Pradesh,4-Wheelers,26,Mahindra and Mahindra,171,626,0.2731629392971246,7
2021-04-01,Andhra Pradesh,4-Wheelers,26,Mercedes-Benz AG,3,626,0.004792332268370607,0
2021-04-01,Andhra Pradesh,4-Wheelers,26,PCA Automobiles,0,626,0.0,0
2021-04-01,Andhra Pradesh,4-Wheelers,26,Tata Motors,322,626,0.5143769968051118,13
2021-04-01,Andhra Pradesh,4-Wheelers,26,Volvo Auto India,0,626,0.0,0
2021-04-01,Arunachal Pradesh,2-Wheelers,0,AMPERE,751,5689,0.13200914044647566,0
2021-04-01,Arunachal Pradesh,2-Wheelers,0,ATHER,903,5689,0.15872736860608191,0
2021-04-01,Arunachal Pradesh,2-Wheelers,0,BAJAJ,48,5689,0.008437335208296712,0
2021-04-01,Arunachal Pradesh,2-Wheelers,0,BEING,171,5689,0.03005800667955704,0
2021-04-01,Arunachal Pradesh,2-Wheelers,0,HERO ELECTRIC,759,5689,0.13341536298119178,0
2021-04-01,Arunachal Pradesh,2-Wheelers,0,JITENDRA,36,5689,0.0063280014062225345,0
2021-04-01,Arunachal Pradesh,2-Wheelers,0,OKINAWA,1251,5689,0.21989804886623307,0
2021-04-01,Arunachal Pradesh,2-Wheelers,0,OLA ELECTRIC,0,5689,0.0,0
2021-04-01,Arunachal Pradesh,2-Wheelers,0,OTHERS,749,5689,0.13165758481279663,0
2021-04-01,Arunachal Pradesh,2-Wheelers,0,PURE EV,581,5689,0.10212691158375813,0
2021-04-01,Arunachal Pradesh,2-Wheelers,0,REVOLT,138,5689,0.02425733872385305,0
2021-04-01,Arunachal Pradesh,2-Wheelers,0,TVS,302,5689,0.05308490068553349,0
2021-04-01,Arunachal Pradesh,4-Wheelers,0,BMW India,0,626,0.0,0
2021-04-01,Arunachal Pradesh,4-Wheelers,0,BYD India,0,626,0.0,0
2021-04-01,Arunachal Pradesh,4-Wheelers,0,Hyundai Motor,12,626,0.019169329073482427,0
2021-04-01,Arunachal Pradesh,4-Wheelers,0,KIA Motors,0,626,0.0,0
2021-04-01,Arunachal Pradesh,4-Wheelers,0,MG Motor,118,626,0.18849840255591055,0
2021-04-01,Arunachal Pradesh,4-Wheelers,0,Mahindra and Mahindra,171,626,0.2731629392971246,0
2021-04-01,Arunachal Pradesh,4-Wheelers,0,Mercedes-Benz AG,3,626,0.004792332268370607,0
2021-04-01,Arunachal Pradesh,4-Wheelers,0,PCA Automobiles,0,626,0.0,0
2021-04-01,Arunachal Pradesh,4-Wheelers,0,Tata Motors,322,626,0.5143769968051118,0
2021-04-01,Arunachal Pradesh,4-Wheelers,0,Volvo Auto India,0,626,0.0,0
2021-04-01,Assam,2-Wheelers,7,AMPERE,751,5689,0.13200914044647566,1
2021-04-01,Assam,2-Wheelers,7,ATHER,903,5689,0.15872736860608191,1
2021-04-01,Assam,2-Wheelers,7,BAJAJ,48,5689,0.008437335208296712,0
2021-04-01,Assam,2-Wheelers,7,BEING,171,5689,0.03005800667955704,0
2021-04-01,Assam,2-Wheelers,7,HERO ELECTRIC,759,5689,0.13341536298119178,1
2021-04-01,Assam,2-Wheelers,7,JITENDRA,36,5689,0.0063280014062225345,0
2021-04-01,Assam,2-Wheelers,7,OKINAWA,1251,5689,0.21989804886623307,2
2021-04-01,Assam,2-Wheelers,7,OLA ELECTRIC,0,5689,0.0,0
2021-04-01,Assam,2-Wheelers,7,OTHERS,749,5689,0.13165758481279663,1
2021-04-01,Assam,2-Wheelers,7,PURE EV,581,5689,0.10212691158375813,1
2021-04-01,Assam,2-Wheelers,7,REVOLT,138,5689,0.02425733872385305,0
2021-04-01,Assam,2-Wheelers,7,TVS,302,5689,0.05308490068553349,0
2021-04-01,Assam,4-Wheelers,0,BMW India,0,626,0.0,0
2021-04-01,Assam,4-Wheelers,0,BYD India,0,626,0.0,0
2021-04-01,Assam,4-Wheelers,0,Hyundai Motor,12,626,0.019169329073482427,0
2021-04-01,Assam,4-Wheelers,0,KIA Motors,0,626,0.0,0
2021-04-01,Assam,4-Wheelers,0,MG Motor,118,626,0.18849840255591055,0
2021-04-01,Assam,4-Wheelers,0,Mahindra and Mahindra,171,626,0.2731629392971246,0
2021-04-01,Assam,4-Wheelers,0,Mercedes-Benz AG,3,626,0.004792332268370607,0
2021-04-01,Assam,4-Wheelers,0,PCA Automobiles,0,626,0.0,0
2021-04-01,Assam,4-Wheelers,0,Tata Motors,322,626,0.5143769968051118,0
2021-04-01,Assam,4-Wheelers,0,Volvo Auto India,0,626,0.0,0
2021-04-01,Bihar,2-Wheelers,47,AMPERE,751,5689,0.13200914044647566,6
2021-04-01,Bihar,2-Wheelers,47,ATHER,903,5689,0.15872736860608191,7
2021-04-01,Bihar,2-Wheelers,47,BAJAJ,48,5689,0.008437335208296712,0
2021-04-01,Bihar,2-Wheelers,47,BEING,171,5689,0.03005800667955704,1
2021-04-01,Bihar,2-Wheelers,47,HERO ELECTRIC,759,5689,0.13341536298119178,6
2021-04-01,Bihar,2-Wheelers,47,JITENDRA,36,5689,0.0063280014062225345,0
2021-04-01,Bihar,2-Wheelers,47,OKINAWA,1251,5689,0.21989804886623307,10
2021-04-01,Bihar,2-Wheelers,47,OLA ELECTRIC,0,5689,0.0,0
2021-04-01,Bihar,2-Wheelers,47,OTHERS,749,5689,0.13165758481279663,6
2021-04-01,Bihar,2-Wheelers,47,PURE EV,581,5689,0.10212691158375813,5
2021-04-01,Bihar,2-Wheelers,47,REVOLT,138,5689,0.02425733872385305,1
2021-04-01,Bihar,2-Wheelers,47,TVS,302,5689,0.05308490068553349,2
2021-04-01,Bihar,4-Wheelers,4,BMW India,0,626,0.0,0
2021-04-01,Bihar,4-Wheelers,4,BYD India,0,626,0.0,0
2021-04-01,Bihar,4-Wheelers,4,Hyundai Motor,12,626,0.019169329073482427,0
2021-04-01,Bihar,4-Wheelers,4,KIA Motors,0,626,0.0,0
2021-04-01,Bihar,4-Wheelers,4,MG Motor,118,626,0.18849840255591055,1
2021-04-01,Bihar,4-Wheelers,4,Mahindra and Mahindra,171,626,0.2731629392971246,1
2021-04-01,Bihar,4-Wheelers,4,Mercedes-Benz AG,3,626,0.004792332268370607,0
2021-04-01,Bihar,4-Wheelers,4,PCA Automobiles,0,626,0.0,0
2021-04-01,Bihar,4-Wheelers,4,Tata Motors,322,626,0.5143769968051118,2
2021-04-01,Bihar,4-Wheelers,4,Volvo Auto India,0,626,0.0,0
2021-04-01,Chandigarh,2-Wheelers,6,AMPERE,751,5689,0.13200914044647566,1
2021-04-01,Chandigarh,2-Wheelers,6,ATHER,903,5689,0.15872736860608191,1
2021-04-01,Chandigarh,2-Wheelers,6,BAJAJ,48,5689,0.008437335208296712,0
2021-04-01,Chandigarh,2-Wheelers,6,BEING,171,5689,0.03005800667955704,0
2021-04-01,Chandigarh,2-Wheelers,6,HERO ELECTRIC,759,5689,0.13341536298119178,1
2021-04-01,Chandigarh,2-Wheelers,6,JITENDRA,36,5689,0.0063280014062225345,0
2021-04-01,Chandigarh,2-Wheelers,6,OKINAWA,1251,5689,0.21989804886623307,1
2021-04-01,Chandigarh,2-Wheelers,6,OLA ELECTRIC,0,5689,0.0,0
2021-04-01,Chandigarh,2-Wheelers,6,OTHERS,749,5689,0.13165758481279663,1
2021-04-01,Chandigarh,2-Wheelers,6,PURE EV,581,5689,0.10212691158375813,1
2021-04-01,Chandigarh,2-Wheelers,6,REVOLT,138,5689,0.02425733872385305,0
2021-04-01,Chandigarh,2-Wheelers,6,TVS,302,5689,0.05308490068553349,0
2021-04-01,Chandigarh,4-Wheelers,2,BMW India,0,626,0.0,0
2021-04-01,Chandigarh,4-Wheelers,2,BYD India,0,626,0.0,0
2021-04-01,Chandigarh,4-Wheelers,2,Hyundai Motor,12,626,0.019169329073482427,0
2021-04-01,Chandigarh,4-Wheelers,2,KIA Motors,0,626,0.0,0
2021-04-01,Chandigarh,4-Wheelers,2,MG Motor,118,626,0.18849840255591055,0
2021-04-01,Chandigarh,4-Wheelers,2,Mahindra and Mahindra,171,626,0.2731629392971246,1
2021-04-01,Chandigarh,4-Wheelers,2,Mercedes-Benz AG,3,626,0.004792332268370607,0
2021-04-01,Chandigarh,4-Wheelers,2,PCA Automobiles,0,626,0.0,0
2021-04-01,Chandigarh,4-Wheelers,2,Tata Motors,322,626,0.5143769968051118,1
2021-04-01,Chandigarh,4-Wheelers,2,Volvo Auto India,0,626,0.0,0
2021-04-01,Chhattisgarh,2-Wheelers,36,AMPERE,751,5689,0.13200914044647566,5
2021-04-01,Chhattisgarh,2-Wheelers,36,ATHER,903,5689,0.15872736860608191,6
2021-04-01,Chhattisgarh,2-Wheelers,36,BAJAJ,48,5689,0.008437335208296712,0
2021-04-01,Chhattisgarh,2-Wheelers,36,BEING,171,5689,0.03005800667955704,1
2021-04-01,Chhattisgarh,2-Wheelers,36,HERO ELECTRIC,759,5689,0.13341536298119178,5
2021-04-01,Chhattisgarh,2-Wheelers,36,JITENDRA,36,5689,0.0063280014062225345,0
2021-04-01,Chhattisgarh,2-Wheelers,36,OKINAWA,1251,5689,0.21989804886623307,8
2021-04-01,Chhattisgarh,2-Wheelers,36,OLA ELECTRIC,0,5689,0.0,0
2021-04-01,Chhattisgarh,2-Wheelers,36,OTHERS,749,5689,0.13165758481279663,5
2021-04-01,Chhattisgarh,2-Wheelers,36,PURE EV,581,5689,0.10212691158375813,4
2021-04-01,Chhattisgarh,2-Wheelers,36,REVOLT,138,5689,0.02425733872385305,1
2021-04-01,Chhattisgarh,2-Wheelers,36,TVS,302,5689,0.05308490068553349,2
2021-04-01,Chhattisgarh,4-Wheelers,0,BMW India,0,626,0.0,0
2021-04-01,Chhattisgarh,4-Wheelers,0,BYD India,0,626,0.0,0
2021-04-01,Chhattisgarh,4-Wheelers,0,Hyundai Motor,12,626,0.019169329073482427,0
