date,vehicle_category,maker,electric_vehicles_sold,monthly_total_sales,maker_share_percent
2021-04-01,2-Wheelers,AMPERE,751,5689,0.13200914044647566
2021-04-01,2-Wheelers,ATHER,903,5689,0.15872736860608191
2021-04-01,2-Wheelers,BAJAJ,48,5689,0.008437335208296712
2021-04-01,2-Wheelers,BEING,171,5689,0.03005800667955704
2021-04-01,2-Wheelers,HERO ELECTRIC,759,5689,0.13341536298119178
2021-04-01,2-Wheelers,JITENDRA,36,5689,0.0063280014062225345
2021-04-01,2-Wheelers,OKINAWA,1251,5689,0.21989804886623307
2021-04-01,2-Wheelers,OLA ELECTRIC,0,5689,0.0
2021-04-01,2-Wheelers,OTHERS,749,5689,0.13165758481279663
2021-04-01,2-Wheelers,PURE EV,581,5689,0.10212691158375813
2021-04-01,2-Wheelers,REVOLT,138,5689,0.02425733872385305
2021-04-01,2-Wheelers,TVS,302,5689,0.05308490068553349
2021-04-01,4-Wheelers,BMW India,0,626,0.0
2021-04-01,4-Wheelers,BYD India,0,626,0.0
2021-04-01,4-Wheelers,Hyundai Motor,12,626,0.019169329073482427
2021-04-01,4-Wheelers,KIA Motors,0,626,0.0
2021-04-01,4-Wheelers,MG Motor,118,626,0.18849840255591055
2021-04-01,4-Wheelers,Mahindra and Mahindra,171,626,0.2731629392971246
2021-04-01,4-Wheelers,Mercedes-Benz AG,3,626,0.004792332268370607
2021-04-01,4-Wheelers,PCA Automobiles,0,626,0.0
2021-04-01,4-Wheelers,Tata Motors,322,626,0.5143769968051118
2021-04-01,4-Wheelers,Volvo Auto India,0,626,0.0
2021-05-01,2-Wheelers,AMPERE,147,1242,0.11835748792270531
2021-05-01,2-Wheelers,ATHER,160,1242,0.1288244766505636
2021-05-01,2-Wheelers,BAJAJ,20,1242,0.01610305958132045
2021-05-01,2-Wheelers,BEING,54,1242,0.043478260869565216
2021-05-01,2-Wheelers,HERO ELECTRIC,170,1242,0.13687600644122383
2021-05-01,2-Wheelers,JITENDRA,13,1242,0.010466988727858293
2021-05-01,2-Wheelers,OKINAWA,245,1242,0.1972624798711755
2021-05-01,2-Wheelers,OLA ELECTRIC,0,1242,0.0
2021-05-01,2-Wheelers,OTHERS,260,1242,0.20933977455716588
2021-05-01,2-Wheelers,PURE EV,122,1242,0.09822866344605476
2021-05-01,2-Wheelers,REVOLT,42,1242,0.033816425120772944
2021-05-01,2-Wheelers,TVS,9,1242,0.007246376811594203
2021-05-01,4-Wheelers,BMW India,0,257,0.0
2021-05-01,4-Wheelers,BYD India,0,257,0.0
2021-05-01,4-Wheelers,Hyundai Motor,3,257,0.011673151750972763
2021-05-01,4-Wheelers,KIA Motors,0,257,0.0
2021-05-01,4-Wheelers,MG Motor,39,257,0.1517509727626459
2021-05-01,4-Wheelers,Mahindra and Mahindra,78,257,0.3035019455252918
2021-05-01,4-Wheelers,Mercedes-Benz AG,0,257,0.0
2021-05-01,4-Wheelers,PCA Automobiles,0,257,0.0
2021-05-01,4-Wheelers,Tata Motors,137,257,0.5330739299610895
2021-05-01,4-Wheelers,Volvo Auto India,0,257,0.0
2021-06-01,2-Wheelers,AMPERE,299,4669,0.06403940886699508
2021-06-01,2-Wheelers,ATHER,320,4669,0.06853715999143285
2021-06-01,2-Wheelers,BAJAJ,176,4669,0.03769543799528807
2021-06-01,2-Wheelers,BEING,198,4669,0.04240736774469908
2021-06-01,2-Wheelers,HERO ELECTRIC,1355,4669,0.2902120368387235
2021-06-01,2-Wheelers,JITENDRA,43,4669,0.00920968087384879
2021-06-01,2-Wheelers,OKINAWA,984,4669,0.21075176697365602
2021-06-01,2-Wheelers,OLA ELECTRIC,0,4669,0.0
2021-06-01,2-Wheelers,OTHERS,567,4669,0.12143928035982009
2021-06-01,2-Wheelers,PURE EV,460,4669,0.09852216748768473
2021-06-01,2-Wheelers,REVOLT,59,4669,0.012636538873420432
2021-06-01,2-Wheelers,TVS,208,4669,0.04454915399443136
2021-06-01,4-Wheelers,BMW India,0,818,0.0
2021-06-01,4-Wheelers,BYD India,0,818,0.0
2021-06-01,4-Wheelers,Hyundai Motor,10,818,0.012224938875305624
2021-06-01,4-Wheelers,KIA Motors,0,818,0.0
2021-06-01,4-Wheelers,MG Motor,128,818,0.15647921760391198
2021-06-01,4-Wheelers,Mahindra and Mahindra,106,818,0.1295843520782396
2021-06-01,4-Wheelers,Mercedes-Benz AG,2,818,0.0024449877750611247
2021-06-01,4-Wheelers,PCA Automobiles,0,818,0.0
2021-06-01,4-Wheelers,Tata Motors,572,818,0.6992665036674817
2021-06-01,4-Wheelers,Volvo Auto India,0,818,0.0
2021-07-01,2-Wheelers,AMPERE,663,14676,0.04517579721995094
2021-07-01,2-Wheelers,ATHER,1799,14676,0.12258108476424094
2021-07-01,2-Wheelers,BAJAJ,730,14676,0.04974107386208776
2021-07-01,2-Wheelers,BEING,494,14676,0.03366039792859089
2021-07-01,2-Wheelers,HERO ELECTRIC,4557,14676,0.31050695012264923
2021-07-01,2-Wheelers,JITENDRA,212,14676,0.014445352957209048
2021-07-01,2-Wheelers,OKINAWA,2633,14676,0.17940855819024257
2021-07-01,2-Wheelers,OLA ELECTRIC,0,14676,0.0
2021-07-01,2-Wheelers,OTHERS,1202,14676,0.08190242572908149
2021-07-01,2-Wheelers,PURE EV,1417,14676,0.09655219405832652
2021-07-01,2-Wheelers,REVOLT,321,14676,0.02187244480784955
2021-07-01,2-Wheelers,TVS,648,14676,0.044153720359771054
2021-07-01,4-Wheelers,BMW India,0,1118,0.0
2021-07-01,4-Wheelers,BYD India,0,1118,0.0
2021-07-01,4-Wheelers,Hyundai Motor,18,1118,0.016100178890876567
2021-07-01,4-Wheelers,KIA Motors,0,1118,0.0
2021-07-01,4-Wheelers,MG Motor,232,1118,0.2075134168157424
2021-07-01,4-Wheelers,Mahindra and Mahindra,171,1118,0.15295169946332737
2021-07-01,4-Wheelers,Mercedes-Benz AG,1,1118,0.0008944543828264759
2021-07-01,4-Wheelers,PCA Automobiles,0,1118,0.0
2021-07-01,4-Wheelers,Tata Motors,696,1118,0.6225402504472272
2021-07-01,4-Wheelers,Volvo Auto India,0,1118,0.0
2021-08-01,2-Wheelers,AMPERE,810,16050,0.05046728971962617
2021-08-01,2-Wheelers,ATHER,1613,16050,0.10049844236760125
2021-08-01,2-Wheelers,BAJAJ,796,16050,0.04959501557632399
2021-08-01,2-Wheelers,BEING,325,16050,0.020249221183800622
2021-08-01,2-Wheelers,HERO ELECTRIC,5527,16050,0.3443613707165109
2021-08-01,2-Wheelers,JITENDRA,208,16050,0.012959501557632399
2021-08-01,2-Wheelers,OKINAWA,2894,16050,0.18031152647975077
2021-08-01,2-Wheelers,OLA ELECTRIC,0,16050,0.0
2021-08-01,2-Wheelers,OTHERS,1279,16050,0.07968847352024921
2021-08-01,2-Wheelers,PURE EV,1094,16050,0.06816199376947041
2021-08-01,2-Wheelers,REVOLT,853,16050,0.05314641744548287
2021-08-01,2-Wheelers,TVS,651,16050,0.0405607476635514
2021-08-01,4-Wheelers,BMW India,0,1103,0.0
2021-08-01,4-Wheelers,BYD India,0,1103,0.0
2021-08-01,4-Wheelers,Hyundai Motor,10,1103,0.009066183136899365
2021-08-01,4-Wheelers,KIA Motors,0,1103,0.0
2021-08-01,4-Wheelers,MG Motor,303,1103,0.2747053490480508
2021-08-01,4-Wheelers,Mahindra and Mahindra,204,1103,0.18495013599274707
2021-08-01,4-Wheelers,Mercedes-Benz AG,2,1103,0.001813236627379873
2021-08-01,4-Wheelers,PCA Automobiles,0,1103,0.0
2021-08-01,4-Wheelers,Tata Motors,584,1103,0.5294650951949229
2021-08-01,4-Wheelers,Volvo Auto India,0,1103,0.0
2021-09-01,2-Wheelers,AMPERE,807,18032,0.04475377107364685
2021-09-01,2-Wheelers,ATHER,2174,18032,0.12056344276841172
2021-09-01,2-Wheelers,BAJAJ,381,18032,0.02112910381543922
2021-09-01,2-Wheelers,BEING,337,18032,0.01868899733806566
2021-09-01,2-Wheelers,HERO ELECTRIC,6727,18032,0.3730590062111801
2021-09-01,2-Wheelers,JITENDRA,134,18032,0.007431233362910381
2021-09-01,2-Wheelers,OKINAWA,3321,18032,0.1841725820763088
2021-09-01,2-Wheelers,OLA ELECTRIC,0,18032,0.0
2021-09-01,2-Wheelers,OTHERS,1627,18032,0.0902284826974268
2021-09-01,2-Wheelers,PURE EV,1337,18032,0.07414596273291925
2021-09-01,2-Wheelers,REVOLT,499,18032,0.027673025732031942
