date,year,month,maker,vehicle_category,electric_vehicles_sold,cumulative_sales,maker_rank,market_position,leader_gap_pct,performance_vs_avg,market_share_fraction,hhi_index,market_concentration,effective_competitors,market_share_tier,share_change_status,dual_segment_presence,primary_segment,primary_segment_contribution,segment_specialization
2021-04-01,2021,April,OLA ELECTRIC,2-Wheelers,0,0,12.0,Other,100.0,-1.0,0.0,0.1409603685445024,Unconcentrated,7.1,<5%,Stable,0,2-Wheelers,1.0,1.0
2022-04-01,2022,April,OKAYA EV,2-Wheelers,0,0,13.0,Other,100.0,-1.0,0.0,0.15677030715273027,Moderately Concentrated,6.4,<5%,Stable,0,2-Wheelers,1.0,1.0
2021-05-01,2021,May,OLA ELECTRIC,2-Wheelers,0,0,12.0,Other,100.0,-1.0,0.0,0.14517906550392715,Unconcentrated,6.9,<5%,Stable,0,2-Wheelers,1.0,1.0
2021-06-01,2021,June,OLA ELECTRIC,2-Wheelers,0,0,12.0,Other,100.0,-1.0,0.0,0.16734029643991447,Moderately Concentrated,6.0,<5%,Stable,0,2-Wheelers,1.0,1.0
2021-07-01,2021,July,OLA ELECTRIC,2-Wheelers,0,0,12.0,Other,100.0,-1.0,0.0,0.16794312524379593,Moderately Concentrated,6.0,<5%,Stable,0,2-Wheelers,1.0,1.0
2021-08-01,2021,August,OLA ELECTRIC,2-Wheelers,0,0,12.0,Other,100.0,-1.0,0.0,0.182247555827292,Moderately Concentrated,5.5,<5%,Stable,0,2-Wheelers,1.0,1.0
2021-09-01,2021,September,OLA ELECTRIC,2-Wheelers,0,0,12.0,Other,100.0,-1.0,0.0,0.2063423036164043,Moderately Concentrated,4.8,<5%,Stable,0,2-Wheelers,1.0,1.0
2021-10-01,2021,October,OLA ELECTRIC,2-Wheelers,0,0,12.0,Other,100.0,-1.0,0.0,0.18230369903438662,Moderately Concentrated,5.5,<5%,Stable,0,2-Wheelers,1.0,1.0
2021-11-01,2021,November,OLA ELECTRIC,2-Wheelers,0,0,12.0,Other,100.0,-1.0,0.0,0.1770285477624764,Moderately Concentrated,5.6,<5%,Stable,0,2-Wheelers,1.0,1.0
2021-04-01,2021,April,BYD India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.3751237636395186,Highly Concentrated,2.7,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-04-01,2021,April,PCA Automobiles,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.3751237636395186,Highly Concentrated,2.7,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-04-01,2021,April,BMW India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.3751237636395186,Highly Concentrated,2.7,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-04-01,2021,April,Volvo Auto India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.3751237636395186,Highly Concentrated,2.7,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-04-01,2021,April,KIA Motors,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.3751237636395186,Highly Concentrated,2.7,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-04-01,2022,April,PCA Automobiles,4-Wheelers,0,0,8.0,Top 10,100.0,-1.0,0.0,0.47264779109375415,Highly Concentrated,2.1,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-04-01,2022,April,Volvo Auto India,4-Wheelers,0,4,8.0,Top 10,100.0,-1.0,0.0,0.47264779109375415,Highly Concentrated,2.1,<5%,Slight Loss,0,4-Wheelers,1.0,1.0
2022-04-01,2022,April,KIA Motors,4-Wheelers,0,0,8.0,Top 10,100.0,-1.0,0.0,0.47264779109375415,Highly Concentrated,2.1,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-05-01,2021,May,BYD India,4-Wheelers,0,0,5.0,Top 5,100.0,-1.0,0.0,0.3994458659480083,Highly Concentrated,2.5,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-05-01,2021,May,PCA Automobiles,4-Wheelers,0,0,5.0,Top 5,100.0,-1.0,0.0,0.3994458659480083,Highly Concentrated,2.5,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-05-01,2021,May,BMW India,4-Wheelers,0,0,5.0,Top 5,100.0,-1.0,0.0,0.3994458659480083,Highly Concentrated,2.5,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-05-01,2021,May,Mercedes-Benz AG,4-Wheelers,0,3,5.0,Top 5,100.0,-1.0,0.0,0.3994458659480083,Highly Concentrated,2.5,<5%,Slight Loss,0,4-Wheelers,1.0,1.0
2021-05-01,2021,May,Volvo Auto India,4-Wheelers,0,0,5.0,Top 5,100.0,-1.0,0.0,0.3994458659480083,Highly Concentrated,2.5,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-05-01,2021,May,KIA Motors,4-Wheelers,0,0,5.0,Top 5,100.0,-1.0,0.0,0.3994458659480083,Highly Concentrated,2.5,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-05-01,2022,May,PCA Automobiles,4-Wheelers,0,0,8.0,Top 10,100.0,-1.0,0.0,0.550313219497147,Highly Concentrated,1.8,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-05-01,2022,May,Volvo Auto India,4-Wheelers,0,4,8.0,Top 10,100.0,-1.0,0.0,0.550313219497147,Highly Concentrated,1.8,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-05-01,2022,May,KIA Motors,4-Wheelers,0,0,8.0,Top 10,100.0,-1.0,0.0,0.550313219497147,Highly Concentrated,1.8,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-06-01,2021,June,BYD India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.5304069200925389,Highly Concentrated,1.9,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-06-01,2021,June,PCA Automobiles,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.5304069200925389,Highly Concentrated,1.9,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-06-01,2021,June,BMW India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.5304069200925389,Highly Concentrated,1.9,<5%,Stable,0,4-Wheelers,1.0,1.0
