date,maker,vehicle_category,electric_vehicles_sold,monthly_growth_rate,sales_z_score,rolling_volatility,stability_indicator,long_term_trend,trend_direction
2021-04-01,AMPERE,2-Wheelers,751,0.0,0.672506313302734,,Volatile Decline,751.0,Below Trend
2021-05-01,AMPERE,2-Wheelers,147,-0.8042609853528628,0.46709921349162464,0.5686983965867839,Volatile Decline,449.0,Below Trend
2021-06-01,AMPERE,2-Wheelers,299,1.0340136054421767,-0.22077976871001728,0.9215271148084355,Volatile Growth,399.0,Below Trend
2021-07-01,AMPERE,2-Wheelers,663,1.2173913043478262,-0.4350772281717183,1.1180309202693994,Volatile Growth,465.0,Above Trend
2021-08-01,AMPERE,2-Wheelers,810,0.22171945701357476,-0.34658869992581476,0.5299074748798572,Volatile Growth,534.0,Above Trend
2021-09-01,AMPERE,2-Wheelers,807,-0.0037037037037036535,-0.3648255507133032,0.6497757366520306,Volatile Decline,579.5,Above Trend
2021-10-01,AMPERE,2-Wheelers,1083,0.3420074349442379,-0.32996504623835027,0.1754997580281675,Stable Growth,634.8333333333334,Above Trend
2021-11-01,AMPERE,2-Wheelers,2077,0.917820867959372,0.014353328941807622,0.46552565937241774,Volatile Growth,956.5,Above Trend
2021-12-01,AMPERE,2-Wheelers,3410,0.6417910447761195,0.5657258286152572,0.2879883636685939,Volatile Growth,1475.0,Above Trend
2022-01-01,AMPERE,2-Wheelers,4366,0.2803519061583577,0.7644975028615242,0.31968666729340633,Volatile Growth,2092.1666666666665,Above Trend
2022-02-01,AMPERE,2-Wheelers,4431,0.014887769125057293,0.6386764319872593,0.31467368706794663,Volatile Growth,2695.6666666666665,Above Trend
2022-03-01,AMPERE,2-Wheelers,6666,0.5044008124576844,0.5135075163434141,0.24504834218902252,Volatile Growth,3672.1666666666665,Above Trend
2022-04-01,AMPERE,2-Wheelers,6864,0.02970297029702973,0.6364691155874329,0.27844225946340534,Volatile Growth,4635.666666666667,Above Trend
2022-05-01,AMPERE,2-Wheelers,6176,-0.10023310023310028,0.8725843534727751,0.3182775497770669,Volatile Decline,5318.833333333333,Above Trend
2022-06-01,AMPERE,2-Wheelers,6919,0.12030440414507781,1.3636957603206854,0.11085184788527994,Stable Growth,5903.666666666667,Above Trend
2022-07-01,AMPERE,2-Wheelers,6812,-0.015464662523486106,1.111711654428257,0.11124726088997725,Stable Decline,6311.333333333333,Above Trend
