date,vehicle_category,maker,electric_vehicles_sold,uuid,year,month,cumulative_sales,segment
2021-04-01,2-Wheelers,OLA ELECTRIC,0,465931d3-9bd6-43b5-ab1f-aace65b11dfb,2021,April,0,Two-Wheeler Manufacturer
2022-04-01,2-Wheelers,OKAYA EV,0,1d7ca2e2-988c-42e9-9d44-8b08a759fbbf,2022,April,0,Two-Wheeler Manufacturer
2021-05-01,2-Wheelers,OLA ELECTRIC,0,9da18de8-1173-4717-a894-f3b0748e3249,2021,May,0,Two-Wheeler Manufacturer
2021-06-01,2-Wheelers,OLA ELECTRIC,0,ac373721-db45-46df-bc6a-86f0d663253a,2021,June,0,Two-Wheeler Manufacturer
2021-07-01,2-Wheelers,OLA ELECTRIC,0,9919575b-4d9d-4823-a9a1-f2a1b7c037c7,2021,July,0,Two-Wheeler Manufacturer
2021-08-01,2-Wheelers,OLA ELECTRIC,0,38528ea6-6061-420a-87dc-050bf3e0c29e,2021,August,0,Two-Wheeler Manufacturer
2021-09-01,2-Wheelers,OLA ELECTRIC,0,cd61c582-27a7-4e93-b129-e211057bb393,2021,September,0,Two-Wheeler Manufacturer
2021-10-01,2-Wheelers,OLA ELECTRIC,0,cb4e25b0-fa81-4599-982e-9016e82f2140,2021,October,0,Two-Wheeler Manufacturer
2021-11-01,2-Wheelers,OLA ELECTRIC,0,06a91415-0872-415e-91d4-598ed513c82c,2021,November,0,Two-Wheeler Manufacturer
2021-04-01,4-Wheelers,BYD India,0,c57fec52-2208-46e0-933c-7bd100265253,2021,April,0,Four-Wheeler Manufacturer
2021-04-01,4-Wheelers,PCA Automobiles,0,058777d2-ee66-4d2a-b050-e95bfdf75870,2021,April,0,Four-Wheeler Manufacturer
2021-04-01,4-Wheelers,BMW India,0,4cdb0c49-c11c-40f3-b7af-f070dd2bfc4f,2021,April,0,Four-Wheeler Manufacturer
2021-04-01,4-Wheelers,Volvo Auto India,0,9e338527-5dab-4026-9238-69477647121b,2021,April,0,Four-Wheeler Manufacturer
2021-04-01,4-Wheelers,KIA Motors,0,6a0c21ff-98f4-4bf2-b44c-178b156ed89c,2021,April,0,Four-Wheeler Manufacturer
2022-04-01,4-Wheelers,PCA Automobiles,0,8d35154b-43fc-4fd4-9daa-44e513e3a2c4,2022,April,0,Four-Wheeler Manufacturer
2022-04-01,4-Wheelers,Volvo Auto India,0,850b913f-0053-4eb9-b189-56d1cf2047df,2022,April,4,Four-Wheeler Manufacturer
2022-04-01,4-Wheelers,KIA Motors,0,7f976ff0-a883-4b92-8340-dc9de14fe89e,2022,April,0,Four-Wheeler Manufacturer
2021-05-01,4-Wheelers,BYD India,0,8712185d-a335-4769-bddf-f4e6396bbf83,2021,May,0,Four-Wheeler Manufacturer
2021-05-01,4-Wheelers,PCA Automobiles,0,f2e1b259-0958-42eb-9a42-ec8957243a6e,2021,May,0,Four-Wheeler Manufacturer
2021-05-01,4-Wheelers,BMW India,0,bc760552-20e1-4a52-b121-d9e0d52e6584,2021,May,0,Four-Wheeler Manufacturer
2021-05-01,4-Wheelers,Mercedes-Benz AG,0,62c859c3-9a91-483a-a8fe-e280b91baac5,2021,May,3,Four-Wheeler Manufacturer
2021-05-01,4-Wheelers,Volvo Auto India,0,08534996-2f0f-40f8-bc5f-92dbd1fb4b96,2021,May,0,Four-Wheeler Manufacturer
2021-05-01,4-Wheelers,KIA Motors,0,b83f2ca6-7086-4ea3-b4da-efda6953f0a8,2021,May,0,Four-Wheeler Manufacturer
2022-05-01,4-Wheelers,PCA Automobiles,0,277d17c4-f61b-4d91-8beb-529f0bd1ce83,2022,May,0,Four-Wheeler Manufacturer
2022-05-01,4-Wheelers,Volvo Auto India,0,c3f82d35-c3e9-4870-9190-dc3d3364d45f,2022,May,4,Four-Wheeler Manufacturer
2022-05-01,4-Wheelers,KIA Motors,0,ef093b6d-f925-47fa-a6f1-1dc45b152758,2022,May,0,Four-Wheeler Manufacturer
2021-06-01,4-Wheelers,BYD India,0,4cd3de41-1609-4551-94bc-c7d15c2c6c75,2021,June,0,Four-Wheeler Manufacturer
2021-06-01,4-Wheelers,PCA Automobiles,0,c3621786-693c-41e9-b809-91554b231e34,2021,June,0,Four-Wheeler Manufacturer
2021-06-01,4-Wheelers,BMW India,0,90ad3510-59ae-4d2d-93ec-b3878a44e1c3,2021,June,0,Four-Wheeler Manufacturer
2021-06-01,4-Wheelers,Volvo Auto India,0,fdc4e781-03b2-4c30-bf5b-55928f65670a,2021,June,0,Four-Wheeler Manufacturer
2021-06-01,4-Wheelers,KIA Motors,0,19f49d8a-a06b-4795-a049-77ea298cdf95,2021,June,0,Four-Wheeler Manufacturer
2022-06-01,4-Wheelers,PCA Automobiles,0,e79996b1-14aa-46a8-a2bb-dfa9cb5b5946,2022,June,0,Four-Wheeler Manufacturer
2022-06-01,4-Wheelers,Volvo Auto India,0,6601f568-3eef-41ce-b693-68aad987af7a,2022,June,4,Four-Wheeler Manufacturer
2022-06-01,4-Wheelers,KIA Motors,0,308e82b6-301b-4d33-9ad3-226aede7f1fd,2022,June,0,Four-Wheeler Manufacturer
2021-07-01,4-Wheelers,BYD India,0,719b1c28-2b78-45fa-97c0-9c3681d27799,2021,July,0,Four-Wheeler Manufacturer
2021-07-01,4-Wheelers,PCA Automobiles,0,4ee3e41a-91ba-4fdf-9a32-8b813a63be63,2021,July,0,Four-Wheeler Manufacturer
2021-07-01,4-Wheelers,BMW India,0,ffb75768-d1cc-4823-8f5f-26c4be3d4be5,2021,July,0,Four-Wheeler Manufacturer
2021-07-01,4-Wheelers,Volvo Auto India,0,c2997e3f-1fa9-4185-8082-9abd03d1bc0f,2021,July,0,Four-Wheeler Manufacturer
2021-07-01,4-Wheelers,KIA Motors,0,6bc573c3-23ed-4c0e-bbee-803eebab0ada,2021,July,0,Four-Wheeler Manufacturer
2022-07-01,4-Wheelers,PCA Automobiles,0,f786f803-dcad-49ca-b1b0-51d10226d41b,2022,July,0,Four-Wheeler Manufacturer
2022-07-01,4-Wheelers,Volvo Auto India,0,faf4bc56-436c-46e2-80b7-8b268f4b94db,2022,July,4,Four-Wheeler Manufacturer
2022-07-01,4-Wheelers,KIA Motors,0,09f249da-83e4-4ce3-b427-9f43b4d5792e,2022,July,0,Four-Wheeler Manufacturer
2021-08-01,4-Wheelers,BYD India,0,5552718c-4d74-45e9-bde6-d4214751df4a,2021,August,0,Four-Wheeler Manufacturer
2021-08-01,4-Wheelers,PCA Automobiles,0,a41a5067-dd1e-4ce2-bc09-472ca4443d23,2021,August,0,Four-Wheeler Manufacturer
2021-08-01,4-Wheelers,BMW India,0,11bee00a-8a7c-4a9f-82ee-c0accf37dada,2021,August,0,Four-Wheeler Manufacturer
2021-08-01,4-Wheelers,Volvo Auto India,0,bf00b789-3daf-4779-b21a-01c9c3d83050,2021,August,0,Four-Wheeler Manufacturer
2021-08-01,4-Wheelers,KIA Motors,0,d16b0c76-5681-4566-b9e8-8e8e35b342a8,2021,August,0,Four-Wheeler Manufacturer
2022-08-01,4-Wheelers,PCA Automobiles,0,e9d4af9a-337f-43e7-91d1-ffa46df4c7fd,2022,August,0,Four-Wheeler Manufacturer
2022-08-01,4-Wheelers,Volvo Auto India,0,53c10ea9-b123-4214-8410-ef5e4c84428a,2022,August,4,Four-Wheeler Manufacturer
2022-08-01,4-Wheelers,KIA Motors,0,9585f6b3-40c7-4aff-b0a3-ce6e968be139,2022,August,0,Four-Wheeler Manufacturer
2021-09-01,4-Wheelers,BYD India,0,3dcb9754-2d5a-49b7-9b5b-4096b224fbe4,2021,September,0,Four-Wheeler Manufacturer
2021-09-01,4-Wheelers,PCA Automobiles,0,b8fb8ca9-f867-4db9-955c-93a73e7bb4f8,2021,September,0,Four-Wheeler Manufacturer
2021-09-01,4-Wheelers,BMW India,0,aa334047-0de7-47df-81f4-f1980aa47b0c,2021,September,0,Four-Wheeler Manufacturer
2021-09-01,4-Wheelers,Volvo Auto India,0,2e341874-4b25-473c-b463-bb7d3a6fe505,2021,September,0,Four-Wheeler Manufacturer
2021-09-01,4-Wheelers,KIA Motors,0,77f992f3-77bf-44ea-8fc7-12217b332581,2021,September,0,Four-Wheeler Manufacturer
2022-09-01,4-Wheelers,PCA Automobiles,0,e1bbd6bc-7f9d-49b6-8121-acbd243cf046,2022,September,0,Four-Wheeler Manufacturer
2022-09-01,4-Wheelers,Volvo Auto India,0,b493eccf-1e0f-4eb7-8f37-6aa9cde60f69,2022,September,4,Four-Wheeler Manufacturer
2022-09-01,4-Wheelers,KIA Motors,0,5881cf0e-0d1b-416e-8153-f5b82aed5b87,2022,September,0,Four-Wheeler Manufacturer
2021-10-01,4-Wheelers,BYD India,0,28c83c0e-4a3e-431f-a5b5-cd556f5b3930,2021,October,0,Four-Wheeler Manufacturer
2021-10-01,4-Wheelers,PCA Automobiles,0,9306e31e-119c-4b99-aaaf-cae682fbbdd4,2021,October,0,Four-Wheeler Manufacturer
2021-10-01,4-Wheelers,BMW India,0,8c6bdce8-679a-4127-8775-d67275819a7a,2021,October,0,Four-Wheeler Manufacturer
