date,year,month,quarter,months_from_start,rolling_mean_ev,ev_growth_rate,ev_penetration,ev_penetration_log,national_market_share,state_rank,growth_stage,market_concentration,region,regional_avg_penetration,state_to_region_ratio,regional_rank,market_maturity_score,adoption_velocity,adoption_velocity_capped,segment_penetration_2-wheelers,segment_penetration_4-wheelers,segment_preference_ratio,segment_preference_ratio_capped,segment_preference_ratio_log,dominant_segment,segment_growth_diff,ev_sales_growth_rank_state,ev_sales_growth_rank_region,is_early_adopter,months_since_peak,is_at_peak,is_missing_ev_growth_rate,is_missing_segment_preference_ratio,is_missing_segment_growth_diff,is_missing_regional_avg_penetration,is_missing_adoption_velocity,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,ev_penetration_rate
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,24.0,Early,0.0,South,0.767,0.0,5.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Andaman and Nicobar Islands,2-Wheelers,0,515,0.0
2021-04-01,2021,4,2,3,9.0,0.0,5.36,1.8500283773520307,0.14,11.0,Advanced,0.0681818181818181,South,0.767,6.99,3.0,100.0,0.0,0.0,0.0,5.36,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,0,0.0,1,0,0,0,0,0,Andaman and Nicobar Islands,4-Wheelers,9,168,0.05357142857142857
2021-04-01,2021,4,2,3,436.0,0.0,0.69,0.5247285289349821,6.9,3.0,Developing,0.2814719173660426,South,0.767,0.9,1.0,12.87,0.0,0.0,0.69,0.33,2.09,2.09,1.128171090909654,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Andhra Pradesh,2-Wheelers,436,63444,0.006872202257108631
2021-04-01,2021,4,2,3,26.0,0.0,0.33,0.2851789422336624,0.41,7.0,Developing,0.1969696969696969,South,0.767,0.43,1.0,6.16,0.0,0.0,0.69,0.33,2.09,2.09,1.128171090909654,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Andhra Pradesh,4-Wheelers,26,7837,0.0033175960188847773
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,24.0,Early,0.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Arunachal Pradesh,2-Wheelers,0,1256,0.0
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Arunachal Pradesh,4-Wheelers,0,724,0.0
2021-04-01,2021,4,2,3,7.0,0.0,0.02,0.0198026272961797,0.11,20.0,Early,0.0045190445448676,Central,0.0920833333333333,0.22,6.0,2.99,0.0,0.0,0.02,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Assam,2-Wheelers,7,30344,0.00023068810967571843
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,Central,0.0920833333333333,0.0,6.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Assam,4-Wheelers,0,6576,0.0
2021-04-01,2021,4,2,3,47.0,0.0,0.06,0.0582689081239757,0.74,14.0,Early,0.0303421562298256,Central,0.0920833333333333,0.65,5.0,8.96,0.0,0.0,0.06,0.07,0.86,0.86,0.6205764877251099,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Bihar,2-Wheelers,47,81056,0.0005798460323726806
2021-04-01,2021,4,2,3,4.0,0.0,0.07,0.0676586484738148,0.06,14.0,Early,0.0303030303030303,Central,0.0920833333333333,0.76,2.0,10.45,0.0,0.0,0.06,0.07,0.86,0.86,0.6205764877251099,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Bihar,4-Wheelers,4,5731,0.0006979584714709475
2021-04-01,2021,4,2,3,6.0,0.0,0.5,0.4054651081081644,0.1,21.0,Developing,0.0038734667527437,North,0.319375,1.57,6.0,26.18,0.0,0.0,0.5,0.14,3.57,3.57,1.5195132049061133,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Chandigarh,2-Wheelers,6,1200,0.005
2021-04-01,2021,4,2,3,2.0,0.0,0.14,0.131028262406404,0.03,16.0,Developing,0.0151515151515151,North,0.319375,0.44,5.0,7.33,0.0,0.0,0.5,0.14,3.57,3.57,1.5195132049061133,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Chandigarh,4-Wheelers,2,1426,0.001402524544179523
2021-04-01,2021,4,2,3,36.0,0.0,0.35,0.3001045924503381,0.57,15.0,Developing,0.0232408005164622,South,0.767,0.46,3.0,6.53,0.0,0.0,0.35,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Chhattisgarh,2-Wheelers,36,10274,0.0035039906560249173
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,South,0.767,0.0,5.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Chhattisgarh,4-Wheelers,0,1563,0.0
2021-04-01,2021,4,2,3,1.0,0.0,0.15,0.1397619423751587,0.02,23.0,Developing,0.0006455777921239,West,0.6475,0.23,8.0,5.81,0.0,0.0,0.15,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Dadra and Nagar Haveli and Daman and Diu,2-Wheelers,1,657,0.0015220700152207
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,West,0.6475,0.0,7.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Dadra and Nagar Haveli and Daman and Diu,4-Wheelers,0,278,0.0
2021-04-01,2021,4,2,3,272.0,0.0,1.91,1.0681530811834012,4.31,7.0,Maturing,0.1755971594577146,North,0.319375,5.98,1.0,100.0,0.0,0.0,1.91,0.76,2.51,2.51,1.2556160374777745,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Delhi,2-Wheelers,272,14233,0.019110517810721563
2021-04-01,2021,4,2,3,61.0,0.0,0.76,0.5653138090500605,0.97,5.0,Developing,0.4621212121212121,North,0.319375,2.38,1.0,39.79,0.0,0.0,1.91,0.76,2.51,2.51,1.2556160374777745,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Delhi,4-Wheelers,61,8076,0.007553244180287271
2021-04-01,2021,4,2,3,36.0,0.0,1.07,0.7275486072772778,0.57,15.0,Maturing,0.0232408005164622,West,0.6475,1.65,6.0,41.47,0.0,0.0,1.07,0.55,1.95,1.95,1.0818051703517284,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Goa,2-Wheelers,36,3374,0.01066982809721399
2021-04-01,2021,4,2,3,8.0,0.0,0.55,0.4382549309311553,0.13,12.0,Developing,0.0606060606060606,West,0.6475,0.85,6.0,21.32,0.0,0.0,1.07,0.55,1.95,1.95,1.0818051703517284,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Goa,4-Wheelers,8,1442,0.005547850208044383
2021-04-01,2021,4,2,3,98.0,0.0,0.2,0.1823215567939546,1.55,12.0,Developing,0.0632666236281472,West,0.6475,0.31,5.0,7.75,0.0,0.0,0.2,0.25,0.8,0.8,0.5877866649021191,4-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Gujarat,2-Wheelers,98,49005,0.0019997959391898786
2021-04-01,2021,4,2,3,44.0,0.0,0.25,0.2231435513142097,0.7,6.0,Developing,0.3333333333333333,West,0.6475,0.39,5.0,9.69,0.0,0.0,0.2,0.25,0.8,0.8,0.5877866649021191,4-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Gujarat,4-Wheelers,44,17386,0.0025307718854250547
2021-04-01,2021,4,2,3,101.0,0.0,0.32,0.2776317365982795,1.6,11.0,Developing,0.065203357004519,North,0.319375,1.0,2.0,16.75,0.0,0.0,0.32,0.02,16.0,16.0,2.833213344056216,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Haryana,2-Wheelers,101,31078,0.003249887380140292
2021-04-01,2021,4,2,3,3.0,0.0,0.02,0.0198026272961797,0.05,15.0,Early,0.0227272727272727,North,0.319375,0.06,4.0,1.05,0.0,0.0,0.32,0.02,16.0,16.0,2.833213344056216,2-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Haryana,4-Wheelers,3,15476,0.00019384853967433445
2021-04-01,2021,4,2,3,9.0,0.0,0.21,0.1906203596086497,0.14,19.0,Developing,0.0058102001291155,North,0.319375,0.66,5.0,10.99,0.0,0.0,0.21,0.03,7.0,7.0,2.079441541679836,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Himachal Pradesh,2-Wheelers,9,4360,0.0020642201834862386
2021-04-01,2021,4,2,3,1.0,0.0,0.03,0.0295588022415444,0.02,17.0,Early,0.0075757575757575,North,0.319375,0.09,6.0,1.57,0.0,0.0,0.21,0.03,7.0,7.0,2.079441541679836,2-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Himachal Pradesh,4-Wheelers,1,3544,0.0002821670428893905
2021-04-01,2021,4,2,3,22.0,0.0,0.32,0.2776317365982795,0.35,17.0,Developing,0.0142027114267269,North,0.319375,1.0,4.0,16.75,0.0,0.0,0.32,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Jammu and Kashmir,2-Wheelers,22,6874,0.003200465522257783
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,North,0.319375,0.0,7.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Jammu and Kashmir,4-Wheelers,0,5107,0.0
2021-04-01,2021,4,2,3,80.0,0.0,0.3,0.262364264467491,1.27,13.0,Developing,0.051646223369916,Central,0.0920833333333333,3.26,4.0,44.78,0.0,0.0,0.3,0.09,3.33,3.33,1.4655675420143983,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Jharkhand,2-Wheelers,80,26969,0.0029663687938002894
2021-04-01,2021,4,2,3,3.0,0.0,0.09,0.0861776962410523,0.05,15.0,Early,0.0227272727272727,Central,0.0920833333333333,0.98,3.0,13.43,0.0,0.0,0.3,0.09,3.33,3.33,1.4655675420143983,2-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Jharkhand,4-Wheelers,3,3425,0.0008759124087591241
2021-04-01,2021,4,2,3,1549.0,0.0,2.58,1.275362800412609,24.53,1.0,Advanced,1.0,West,0.6475,3.98,1.0,100.0,0.0,0.0,2.58,0.53,4.87,4.87,1.7698546338400052,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Karnataka,2-Wheelers,1549,59979,0.025825705663648942
2021-04-01,2021,4,2,3,90.0,0.0,0.53,0.4252677354043441,1.43,3.0,Developing,0.6818181818181818,West,0.6475,0.82,3.0,20.54,0.0,0.0,2.58,0.53,4.87,4.87,1.7698546338400052,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Karnataka,4-Wheelers,90,16864,0.005336812144212524
2021-04-01,2021,4,2,3,379.0,0.0,0.66,0.5068176023684519,6.0,5.0,Developing,0.2446739832149774,West,0.6475,1.02,4.0,25.58,0.0,0.0,0.66,0.56,1.18,1.18,0.7793248768009976,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Kerala,2-Wheelers,379,57624,0.006577120644176038
2021-04-01,2021,4,2,3,132.0,0.0,0.56,0.4446858212614457,2.09,1.0,Developing,1.0,West,0.6475,0.86,1.0,21.71,0.0,0.0,0.66,0.56,1.18,1.18,0.7793248768009976,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Kerala,4-Wheelers,132,23660,0.005579036348267117
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,24.0,Early,0.0,North,0.319375,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Ladakh,2-Wheelers,0,2,0.0
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,North,0.319375,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Ladakh,4-Wheelers,0,20,0.0
2021-04-01,2021,4,2,3,126.0,0.0,0.43,0.3576744442718159,2.0,10.0,Developing,0.0813428018076178,Central,0.0920833333333333,4.67,3.0,64.18,0.0,0.0,0.43,0.04,10.75,10.75,2.463853240590168,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Madhya Pradesh,2-Wheelers,126,29491,0.004272489912176596
2021-04-01,2021,4,2,3,2.0,0.0,0.04,0.0392207131532812,0.03,16.0,Early,0.0151515151515151,Central,0.0920833333333333,0.43,4.0,5.97,0.0,0.0,0.43,0.04,10.75,10.75,2.463853240590168,2-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Madhya Pradesh,4-Wheelers,2,5356,0.0003734129947722181
