date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,ev_penetration,year,month,month_name,conventional_vehicles_sold,quarter
2021-04-01,Andaman & Nicobar Island,2-Wheelers,0,515,0.0,2021,4,Apr,515,2
2021-04-01,Andaman & Nicobar Island,4-Wheelers,9,168,5.36,2021,4,Apr,159,2
2021-04-01,Andhra Pradesh,2-Wheelers,436,63444,0.69,2021,4,Apr,63008,2
2021-04-01,Andhra Pradesh,4-Wheelers,26,7837,0.33,2021,4,Apr,7811,2
2021-04-01,Arunachal Pradesh,2-Wheelers,0,1256,0.0,2021,4,Apr,1256,2
2021-04-01,Arunachal Pradesh,4-Wheelers,0,724,0.0,2021,4,Apr,724,2
2021-04-01,Assam,2-Wheelers,7,30344,0.02,2021,4,Apr,30337,2
2021-04-01,Assam,4-Wheelers,0,6576,0.0,2021,4,Apr,6576,2
2021-04-01,Bihar,2-Wheelers,47,81056,0.06,2021,4,Apr,81009,2
2021-04-01,Bihar,4-Wheelers,4,5731,0.07,2021,4,Apr,5727,2
2021-04-01,Chandigarh,2-Wheelers,6,1200,0.5,2021,4,Apr,1194,2
2021-04-01,Chandigarh,4-Wheelers,2,1426,0.14,2021,4,Apr,1424,2
2021-04-01,Chhattisgarh,2-Wheelers,36,10274,0.35,2021,4,Apr,10238,2
2021-04-01,Chhattisgarh,4-Wheelers,0,1563,0.0,2021,4,Apr,1563,2
2021-04-01,DNH and DD,2-Wheelers,1,657,0.15,2021,4,Apr,656,2
2021-04-01,DNH and DD,4-Wheelers,0,278,0.0,2021,4,Apr,278,2
2021-04-01,Delhi,2-Wheelers,272,14233,1.91,2021,4,Apr,13961,2
2021-04-01,Delhi,4-Wheelers,61,8076,0.76,2021,4,Apr,8015,2
2021-04-01,Goa,2-Wheelers,36,3374,1.07,2021,4,Apr,3338,2
2021-04-01,Goa,4-Wheelers,8,1442,0.55,2021,4,Apr,1434,2
2021-04-01,Gujarat,2-Wheelers,98,49005,0.2,2021,4,Apr,48907,2
2021-04-01,Gujarat,4-Wheelers,44,17386,0.25,2021,4,Apr,17342,2
2021-04-01,Haryana,2-Wheelers,101,31078,0.32,2021,4,Apr,30977,2
2021-04-01,Haryana,4-Wheelers,3,15476,0.02,2021,4,Apr,15473,2
2021-04-01,Himachal Pradesh,2-Wheelers,9,4360,0.21,2021,4,Apr,4351,2
2021-04-01,Himachal Pradesh,4-Wheelers,1,3544,0.03,2021,4,Apr,3543,2
2021-04-01,Jammu and Kashmir,2-Wheelers,22,6874,0.32,2021,4,Apr,6852,2
2021-04-01,Jammu and Kashmir,4-Wheelers,0,5107,0.0,2021,4,Apr,5107,2
2021-04-01,Jharkhand,2-Wheelers,80,26969,0.3,2021,4,Apr,26889,2
2021-04-01,Jharkhand,4-Wheelers,3,3425,0.09,2021,4,Apr,3422,2
2021-04-01,Karnataka,2-Wheelers,1549,59979,2.58,2021,4,Apr,58430,2
2021-04-01,Karnataka,4-Wheelers,90,16864,0.53,2021,4,Apr,16774,2
2021-04-01,Kerala,2-Wheelers,379,57624,0.66,2021,4,Apr,57245,2
2021-04-01,Kerala,4-Wheelers,132,23660,0.56,2021,4,Apr,23528,2
2021-04-01,Ladakh,2-Wheelers,0,2,0.0,2021,4,Apr,2,2
2021-04-01,Ladakh,4-Wheelers,0,20,0.0,2021,4,Apr,20,2
2021-04-01,Madhya Pradesh,2-Wheelers,126,29491,0.43,2021,4,Apr,29365,2
2021-04-01,Madhya Pradesh,4-Wheelers,2,5356,0.04,2021,4,Apr,5354,2
2021-04-01,Maharashtra,2-Wheelers,428,45515,0.94,2021,4,Apr,45087,2
2021-04-01,Maharashtra,4-Wheelers,96,16829,0.57,2021,4,Apr,16733,2
2021-04-01,Manipur,2-Wheelers,2,3048,0.07,2021,4,Apr,3046,2
